Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Robert Williams III  ,    BOS  ,25,    6-9  ,237,    Texas A&M  ,    USA  ,2018,1,27,20,7.7,6,1,2.9,9.5,19.5,11.7,78.6,6.4,0.0
Robin Lopez  ,    CLE  ,35,    7-0  ,281,    Stanford  ,    USA  ,2008,1,15,2,4,0.5,0,21.4,25,0,33.3,103.1,0,0.0
Saddiq Bey  ,    ATL  ,24,    6-7  ,215,    Villanova  ,    USA  ,2020,1,19,6,7.5,4,1,-10.5,4.6,14.4,13.5,51.2,5.5,0.0
Santi Aldama  ,    MEM  ,22,    7-0  ,215,    Loyola-Maryland  ,    Spain  ,2021,1,30,6,6.5,4.3,1.2,-14.5,5.6,18.3,14.6,57.6,10.4,0.0
Seth Curry  ,    BKN  ,32,    6-1  ,185,    Duke  ,    USA  ,      ,0,      ,3,8.3,1,2,-16.2,0,5.8,17.5,61.5,18.8,0.0
Shaquille Harrison  ,    LAL  ,29,    6-4  ,195,    Tulsa  ,    USA  ,      ,0,      ,8,1.3,0.4,1.1,3.4,0,11.1,11.8,63.5,47.4,0.0
Stephen Curry  ,    GSW  ,35,    6-2  ,185,    Davidson  ,    USA  ,2009,1,7,13,30.5,5.2,6.1,3.6,1.7,11.1,29.9,58.8,25.8,0.0
Terence Davis  ,    SAC  ,26,    6-4  ,201,    Mississippi  ,    USA  ,      ,0,      ,4,6,2.3,1.5,-5.8,3.5,11.9,15.9,57.5,13.6,0.0
Terrence Ross  ,    PHX  ,32,    6-7  ,206,    Washington  ,    USA  ,2012,1,8,6,3.7,1.3,0.2,-4.8,0,12.7,16.7,40.7,1.7,0.0
Torrey Craig  ,    PHX  ,32,    6-7  ,221,    South Carolina Upstate  ,    USA  ,      ,0,      ,11,6.5,2.3,0.5,2.3,4.1,9.7,12.2,72.5,4.3,0.0
Trae Young  ,    ATL  ,24,    6-1  ,164,    Oklahoma  ,    USA  ,2018,1,5,6,29.2,3.7,10.2,-7.3,1.9,7.5,33.5,52.1,43,0.0
Trey Lyles  ,    SAC  ,27,    6-9  ,234,    Kentucky  ,    Canada  ,2015,1,12,7,6.6,5.7,0.7,10,7,24,14.7,54.5,5.6,0.0
Troy Brown Jr.  ,    LAL  ,23,    6-7  ,215,    Oregon  ,    USA  ,2018,1,15,12,1.8,2,0.9,-5.2,2.9,12.7,9.5,39.3,12.1,0.0
Tyus Jones  ,    MEM  ,27,    6-2  ,196,    Duke  ,    USA  ,2015,1,24,6,4.5,3,3.7,-8.1,2,11.2,15.8,36.2,28.2,0.0
Udonis Haslem  ,    MIA  ,43,    6-7  ,235,    Florida  ,    USA  ,      ,0,      ,2,0,0.5,0,-71.4,0,50,37.5,0,0,0.0
Victor Oladipo  ,    MIA  ,31,    6-3  ,213,    Indiana  ,    USA  ,2013,1,2,2,11.5,3.5,1,1.3,3.1,11.5,22,56.6,6.1,0.0
Vlatko Cancar  ,    DEN  ,26,    6-8  ,236,    None  ,    Slovenia  ,2017,2,49,5,0,0.6,0.2,-39,0,20,22.7,0,25,0.0
Wenyen Gabriel  ,    LAL  ,26,    6-9  ,205,    Kentucky  ,    South Sudan  ,      ,0,      ,10,1,0.9,0,-14.8,15.7,2.7,12.7,44.2,0,0.0
Wesley Matthews  ,    MIL  ,36,    6-5  ,220,    Marquette  ,    USA  ,      ,0,      ,2,6,1.5,0.5,-34.8,2,5.9,9,66.7,3.8,0.0
Yuta Watanabe  ,    BKN  ,28,    6-8  ,215,    George Washington  ,    Japan  ,      ,0,      ,1,3,1,0,-32.2,0,33.3,36.4,52.1,0,0.0
Ziaire Williams  ,    MEM  ,21,    6-9  ,185,    Stanford  ,    USA  ,2021,1,10,4,1.3,0.5,0.5,-40.7,0,18.2,30,35.7,40,0.0
Alex Caruso  ,    CHI  ,28,    6-5  ,186,    Texas A&M  ,    USA  ,      ,0,      ,4,6.3,2.8,4.3,-6.3,1.6,7.8,9.4,54.3,21.3,0.0
Andre Drummond  ,    BKN  ,28,    6-10  ,279,    Connecticut  ,    USA  ,2012,1,9,4,3.8,3,0.8,-20.8,5.9,18.8,13.6,56.8,8.3,0.0
Andre Iguodala  ,    GSW  ,38,    6-6  ,215,    Arizona  ,    USA  ,2004,1,9,7,1.6,1,1.7,-9.7,4.8,8.5,10.3,53.3,27.3,0.0
Armoni Brooks  ,    TOR  ,24,    6-3  ,195,    Houston  ,    USA  ,2019,0,      ,4,0,0.5,0,-47.4,0,22.2,17.4,0,0,0.0
Ayo Dosunmu  ,    CHI  ,22,    6-4  ,200,    Illinois  ,    USA  ,2021,2,38,5,4,2.6,2.2,-14.7,4.1,10.3,14.5,37.8,19.6,0.0
Boban Marjanovic  ,    DAL  ,33,    7-3  ,290,    None  ,    Serbia  ,      ,0,      ,3,1.3,1,0,-66.7,0,27.3,43.8,41,0,0.0
Brandon Clarke  ,    MEM  ,25,    6-8  ,215,    Gonzaga  ,    Canada  ,2019,1,21,12,12.3,6.9,2,2.4,10.5,15.5,16.8,64.5,13.3,0.0
Bryn Forbes  ,    DEN  ,28,    6-2  ,205,    Michigan State  ,    USA  ,      ,0,      ,5,4,0.6,1.4,2.7,1.5,3.4,10.9,58.1,11.9,0.0
Charles Bassey  ,    PHI  ,21,    6-9  ,230,    Western Kentucky  ,    Nigeria  ,2021,2,53,3,0.7,1.7,0.3,-11.3,6.3,30.8,6.3,41,11.1,0.0
Chris Boucher  ,    TOR  ,29,    6-9  ,200,    Oregon  ,    Saint Lucia  ,      ,0,      ,6,11.2,5.8,0.2,-0.2,8.6,23,16.3,72.2,1.2,0.0
Coby White  ,    CHI  ,22,    6-4  ,195,    North Carolina  ,    USA  ,2019,1,7,5,8.4,3.4,1.8,-22.7,0,16.8,23.2,44.5,18.4,0.0
Dalano Banton  ,    TOR  ,22,    6-7  ,204,    Nebraska  ,    Canada  ,2021,2,46,4,1.8,0.5,0.3,-51.3,15.4,0,21.7,75.4,50,0.0
Davis Bertans  ,    DAL  ,29,    6-10  ,225,    None  ,    Latvia  ,2011,2,42,18,4.1,1.4,0.3,4.1,2.1,13.3,14.2,60.6,4.9,0.0
DeMar DeRozan  ,    CHI  ,32,    6-6  ,220,    Southern California  ,    USA  ,2009,1,9,5,20.8,5.4,4.8,-14.9,0.4,13,25.5,48.1,20.2,0.0
DeMarcus Cousins  ,    DEN  ,31,    6-10  ,270,    Kentucky  ,    USA  ,2010,1,5,5,10.6,3.4,1.2,5.8,6.3,28.6,32.6,74.4,24,0.0
Devonte' Graham  ,    NOP  ,27,    6-1  ,195,    Kansas  ,    USA  ,2018,2,34,6,4,1.5,0.7,-3.2,3.8,13.5,18.8,55.8,9.5,0.0
Elfrid Payton  ,    PHX  ,28,    6-3  ,195,    Louisana-Lafayette  ,    USA  ,2014,1,10,2,2,0,1.5,78.4,0,0,11.5,66.7,27.3,0.0
Eric Paschall  ,    UTA  ,25,    6-6  ,255,    Villanova  ,    USA  ,2019,2,41,4,2,1.3,0,13.9,4.2,16,11.1,62.1,0,0.0
Facundo Campazzo  ,    DEN  ,31,    5-10  ,195,    None  ,    Argentina  ,      ,0,      ,4,0,0.8,0.5,-27.6,0,33.3,14.8,0,20,0.0
Frank Ntilikina  ,    DAL  ,23,    6-4  ,200,    None  ,    France  ,2017,1,8,12,1.9,1,0.8,-4.2,1.5,7.9,10.8,47.1,11.8,0.0
Fred VanVleet  ,    TOR  ,28,    6-1  ,197,    Wichita State  ,    USA  ,      ,0,      ,4,13.8,3,6.3,-16,1.4,8.5,20,48.6,29.4,0.0
Garrett Temple  ,    NOP  ,36,    6-5  ,195,    Louisiana State  ,    USA  ,      ,0,      ,1,0,1,0,-33.3,0,33.3,0,0,0,0.0
Gary Trent Jr.  ,    TOR  ,23,    6-5  ,209,    Duke  ,    USA  ,2018,2,37,6,15.3,1.7,1.3,-13.7,0.5,5.3,20.9,50.9,6.5,0.0
George Hill  ,    MIL  ,36,    6-4  ,188,    Indiana-Purdue Indianapolis  ,    USA  ,2008,1,26,5,1,1.2,0.6,-19.5,1.3,6.2,3.9,42.5,5.8,0.0
Gorgui Dieng  ,    ATL  ,32,    6-10  ,248,    Louisville  ,    Senegal  ,2013,1,21,2,1.5,1.5,0,7.8,10,33.3,8,61.5,0,0.0
Greg Monroe  ,    MIN  ,32,    6-10  ,250,    Georgetown  ,    USA  ,2010,1,7,2,2,1,0.5,-21.4,9.1,11.1,37.5,40,50,0.0
Hassan Whiteside  ,    UTA  ,33,    7-0  ,265,    Marshall  ,    USA  ,2010,2,33,6,1.8,5.2,0,-17.8,13.1,33.8,9.8,40,0,0.0
Isaac Bonga  ,    TOR  ,22,    6-8  ,180,    None  ,    Germany  ,2018,2,39,1,2,1,0,0,0,33.3,11.1,113.6,0,0.0
JaVale McGee  ,    PHX  ,34,    7-0  ,270,    Nevada  ,    USA  ,2008,1,18,12,6.8,4,0.6,-1,12.7,25.8,20.8,72.7,9,0.0
Jared Butler  ,    UTA  ,21,    6-3  ,193,    Baylor  ,    USA  ,2021,2,40,1,0,1,0,36.4,0,16.7,16.7,0,0,0.0
Jarrett Culver  ,    MEM  ,23,    6-6  ,195,    Texas Tech  ,    USA  ,2019,1,6,3,2.3,2.3,0.3,-42.3,7.4,22.7,23.6,32.2,9.1,0.0
Javonte Green  ,    CHI  ,28,    6-5  ,205,    Radford  ,    USA  ,      ,0,      ,5,1.4,3,0.4,2.5,9.5,8.9,12.4,19.6,3.3,0.0
Jordan Clarkson  ,    UTA  ,30,    6-4  ,194,    Missouri  ,    USA  ,2014,2,46,6,17.5,3.2,1.3,-1.6,3.2,8.1,24.3,64.9,9.1,0.0
Jordan Nwora  ,    MIL  ,23,    6-8  ,225,    Louisville  ,    USA  ,2020,2,45,8,0.5,0.4,0.3,-26.7,0,13.6,20,20.2,18.2,0.0
Juan Toscano-Anderson  ,    GSW  ,29,    6-6  ,209,    Marquette  ,    USA  ,      ,0,      ,14,0.8,0.7,0.6,-25.2,0,20.8,16,48.6,28.6,0.0
Juancho Hernangomez  ,    UTA  ,26,    6-9  ,214,    None  ,    Spain  ,2016,1,15,6,2.3,2,0.8,5.5,3.6,14.7,15.3,38.9,14.7,0.0
Juwan Morgan  ,    BOS  ,25,    6-7  ,232,    Indiana  ,    USA  ,      ,0,      ,9,0.1,0.3,0,-12.9,11.1,6.3,5.6,26.6,0,0.0
Kevin Knox II  ,    ATL  ,22,    6-7  ,215,    Kentucky  ,    USA  ,2018,1,9,2,11,1,0,22.7,0,33.3,65.2,92.6,0,0.0
Khem Birch  ,    TOR  ,29,    6-9  ,233,    UNLV  ,    Canada  ,      ,0,      ,6,3,1.5,0.5,5.1,6.5,9.8,14.1,56.3,6.4,0.0
Luca Vildoza  ,    MIL  ,26,    6-3  ,190,    None  ,    Argentina  ,      ,0,      ,7,0.7,0.3,0.6,-32.2,3.6,5.9,13.3,41.7,50,0.0
Malachi Flynn  ,    TOR  ,24,    6-1  ,175,    San Diego State  ,    USA  ,2020,1,29,6,0,0.5,0.5,2.7,4.5,3.3,8.8,0,9.4,0.0
Malik Fitts  ,    BOS  ,24,    6-5  ,230,    St. Mary's College  ,    USA  ,      ,0,      ,9,0.9,0.2,0,35.5,0,10.5,12.5,100,0,0.0
Marquese Chriss  ,    DAL  ,24,    6-9  ,240,    Washington  ,    USA  ,2016,1,8,8,1.8,1.1,0,-25.1,12.5,17.2,16,65.8,0,0.0
Matisse Thybulle  ,    PHI  ,25,    6-5  ,201,    Washington  ,    USA  ,2019,1,20,9,3,1,0.4,-15.5,1.6,5.3,8.9,53.3,5,0.0
Nemanja Bjelica  ,    GSW  ,34,    6-9  ,234,    None  ,    Serbia  ,2010,2,35,15,2.9,2.1,1.1,-7.2,4.2,17.6,12.9,58,17.3,0.0
Nik Stauskas  ,    BOS  ,28,    6-6  ,207,    Michigan  ,    Canada  ,2014,1,8,13,1,0.3,0.3,26.8,0,15.4,25.9,47.2,33.3,0.0
Nikola Vucevic  ,    CHI  ,31,    6-10  ,260,    Southern California  ,    Montenegro  ,2011,1,16,5,19.4,12.4,3.2,-10.5,6.8,27.1,24.2,52,16.2,0.0
Otto Porter Jr.  ,    GSW  ,29,    6-8  ,198,    Georgetown  ,    USA  ,2013,1,3,19,5.4,3.4,1.8,12.4,3.6,14,10.8,63,11.5,0.0
Patrick Williams  ,    CHI  ,20,    6-7  ,215,    Florida State  ,    USA  ,2020,1,4,5,11.8,5.4,0.8,-21.9,3.4,13.9,16.9,56.9,4.5,0.0
Paul Millsap  ,    PHI  ,37,    6-7  ,257,    Louisiana Tech  ,    USA  ,2006,2,47,1,0,1,1,-7.3,0,20,0,0,25,0.0
Rayjon Tucker  ,    MIL  ,24,    6-3  ,209,    Arkansas-Little Rock  ,    USA  ,      ,0,      ,8,0.3,0.4,0,-18.6,3.6,9.5,6.3,33.3,0,0.0
Reggie Bullock Jr.  ,    DAL  ,31,    6-6  ,205,    North Carolina  ,    USA  ,2013,1,25,18,10.6,4.6,1.7,1.8,1.2,11.5,10.8,59.8,6.3,0.0
Scottie Barnes  ,    TOR  ,20,    6-7  ,225,    Florida State  ,    USA  ,2021,1,4,4,12.8,9,4.3,-10.3,5.3,23.2,17.7,52,17.9,0.0
Serge Ibaka  ,    MIL  ,32,    6-10  ,235,    None  ,    Democratic Republic of the Congo  ,2008,1,24,6,1.5,1.7,0,-25.8,6.7,28.6,35.2,26.7,0,0.0
Skylar Mays  ,    ATL  ,24,    6-4  ,205,    Louisiana State  ,    USA  ,2020,2,50,2,1,0.5,0.5,22.7,0,16.7,4.3,100,12.5,0.0
Sterling Brown  ,    DAL  ,27,    6-5  ,219,    Southern Methodist  ,    USA  ,2017,2,46,9,1.2,0.9,0.3,-21,3.6,24.1,23.9,42,21.4,0.0
Steven Adams  ,    MEM  ,28,    6-11  ,265,    Pittsburgh  ,    New Zealand  ,2013,1,12,7,3.4,6.4,2.1,7.6,11.1,23.1,10.8,46.4,16.1,0.0
Timothe Luwawu-Cabarrot  ,    ATL  ,27,    6-7  ,215,    None  ,    France  ,2016,1,24,4,1.3,0.8,0.5,4.4,0,17.6,10.2,62.5,11.8,0.0
Tony Bradley  ,    CHI  ,24,    6-10  ,248,    North Carolina  ,    USA  ,2017,1,28,2,5,2,0.5,52.6,0,26.7,23.8,100,20,0.0
Trey Burke  ,    DAL  ,29,    6-0  ,185,    Michigan  ,    USA  ,2013,1,9,10,3.2,0.3,0.4,-16.8,0,8.6,26.4,64.9,33.3,0.0
Will Barton  ,    DEN  ,31,    6-5  ,181,    Memphis  ,    USA  ,2012,2,40,5,13.8,5.6,2.8,-12.1,2.9,15,19.1,50.3,11.9,0.0
Willy Hernangomez  ,    NOP  ,28,    6-11  ,250,    None  ,    Spain  ,2015,2,35,1,2,2,0,-33.3,66.7,0,50,25,0,0.0
Zach LaVine  ,    CHI  ,27,    6-5  ,200,    UCLA  ,    USA  ,2014,1,13,4,19.3,5.3,6,-12.1,0,13.2,23.2,55.3,27.3,0.0
Abdel Nader  ,    PHX  ,27,    6-5  ,225,    Iowa State  ,    Egypt  ,2016,2,58,5,0.8,1,0,-12.6,0,13.5,9.1,33.3,0,0.0
Alfonzo McKinnie  ,    LAL  ,28,    6-7  ,215,    Wisc.-Green Bay  ,    USA  ,      ,0,      ,2,0,0.5,0,3.2,0,5.9,11.1,0,0,0.0
Alize Johnson  ,    BKN  ,25,    6-7  ,212,    Missouri State  ,    USA  ,2018,2,50,5,1.6,2.6,0,21.5,10.3,43.5,15.4,57.1,0,0.0
Anfernee Simons  ,    POR  ,22,    6-3  ,181,    None  ,    USA  ,2018,1,24,6,6.5,2.7,0.8,-19.6,2.7,12.7,10.9,78,7.6,0.0
Anthony Gill  ,    WAS  ,28,    6-7  ,230,    Virginia  ,    USA  ,      ,0,      ,4,0,1,0,-26.1,2.7,10.3,7.2,0,0,0.0
Anthony Tolliver  ,    PHI  ,36,    6-8  ,240,    Creighton  ,    USA  ,      ,0,      ,1,0,0,0,0,0,0,0,0,0,0.0
Axel Toupane  ,    MIL  ,28,    6-7  ,210,    None  ,    France  ,      ,0,      ,4,1.3,1,0,-26.3,16.7,22.2,17.4,62.5,0,0.0
Ben McLemore  ,    LAL  ,28,    6-3  ,195,    Kansas  ,    USA  ,2013,1,7,4,1.5,1.8,0.3,-14.9,2.4,16.2,12,33.3,5,0.0
Ben Simmons  ,    PHI  ,24,    6-11  ,240,    Louisiana State  ,    Australia  ,2016,1,1,12,11.9,7.9,8.8,12.9,6.6,17.1,16.2,56.2,32.3,0.0
Bruno Fernando  ,    ATL  ,22,    6-9  ,240,    Maryland  ,    Angola  ,2019,2,34,6,1,0.2,0,18.7,10,0,13.8,77.3,0,0.0
CJ Elleby  ,    POR  ,21,    6-6  ,200,    Washington State  ,    USA  ,2020,2,46,2,0,1.5,0.5,5.9,10,20,9.1,0,14.3,0.0
Cam Reddish  ,    ATL  ,21,    6-8  ,218,    Duke  ,    USA  ,2019,1,10,4,12.8,3.5,1.8,-1.1,1.1,12.9,19.6,66.8,12.5,0.0
Carmelo Anthony  ,    POR  ,37,    6-7  ,238,    Syracuse  ,    USA  ,2003,1,3,6,12.3,3.2,1.5,-16,1.3,12.1,21.9,57.1,10.6,0.0
Carsen Edwards  ,    BOS  ,23,    5-11  ,200,    Purdue  ,    USA  ,2019,2,33,2,2.5,0.5,0,7.1,0,14.3,21.4,83.3,0,0.0
Cassius Winston  ,    WAS  ,23,    6-1  ,185,    Michigan State  ,    USA  ,2020,2,53,1,2,2,1,-20,12.5,20,33.3,33.3,100,0.0
Chandler Hutchison  ,    WAS  ,25,    6-6  ,210,    Boise State  ,    USA  ,2018,1,22,2,3,1.5,0.5,-33.5,0,18.8,14.9,51,16.7,0.0
Chris Chiozza  ,    BKN  ,25,    5-11  ,175,    Florida  ,    USA  ,      ,0,      ,6,0.8,0.2,0.2,12.9,0,5.6,15.1,35.7,7.7,0.0
Daniel Oturu  ,    LAC  ,21,    6-8  ,240,    Minnesota  ,    USA  ,2020,2,33,8,0.6,0.5,0,-17.2,15.4,15.4,18.8,42.5,0,0.0
Dario Saric  ,    PHX  ,27,    6-10  ,225,    None  ,    Croatia  ,2014,1,12,14,4.5,2.5,1,12.1,6.6,16.8,17.2,61.6,14.1,0.0
Derrick Favors  ,    UTA  ,29,    6-9  ,265,    Georgia Tech  ,    USA  ,2010,1,3,11,3.4,4.2,0.3,-7.7,13.7,20,9.9,68.6,2.8,0.0
Dwight Howard  ,    PHI  ,35,    6-10  ,265,    None  ,    USA  ,2004,1,1,12,4.7,6.3,0.7,-8.8,14.7,28.7,16.3,58.8,8.5,0.0
E'Twaun Moore  ,    PHX  ,32,    6-3  ,191,    Purdue  ,    USA  ,2011,2,55,7,2.4,1.4,1.3,0.2,0,17.5,18.8,47.2,28.1,0.0
Elijah Bryant  ,    MIL  ,26,    6-5  ,210,    Brigham Young  ,    USA  ,      ,0,      ,11,1.3,1.1,0.4,-19.4,3.2,21.3,17.9,35,19,0.0
Enes Freedom  ,    POR  ,29,    6-10  ,250,    None  ,    Turkey  ,2011,1,3,5,2,2.6,0,-31.2,10.5,13.7,9.4,56.3,0,0.0
Ersan Ilyasova  ,    UTA  ,34,    6-9  ,235,    None  ,    Turkey  ,2005,2,36,1,4,0,0,-38.1,0,0,50,69.4,0,0.0
Evan Fournier  ,    BOS  ,28,    6-7  ,205,    None  ,    France  ,2012,1,20,5,15.4,3.6,1.4,-14.4,2.8,9.9,17.8,56.4,6.1,0.0
Frank Kaminsky  ,    PHX  ,28,    7-0  ,240,    Wisconsin  ,    USA  ,2015,1,9,10,2.2,1.4,1.4,-9.1,2.9,18.8,16.8,49,32.6,0.0
Garrison Mathews  ,    WAS  ,24,    6-5  ,215,    Lipscomb  ,    USA  ,      ,0,      ,3,1.3,0.7,0,-11.8,0,13.3,13.3,32.3,0,0.0
Harry Giles III  ,    POR  ,23,    6-11  ,240,    Duke  ,    USA  ,2017,1,20,1,0,3,0,28.6,50,33.3,40,0,0,0.0
Jabari Parker  ,    BOS  ,26,    6-8  ,245,    Duke  ,    USA  ,2014,1,2,4,8.5,3.8,0.5,15.1,3.6,18.1,22.8,69.3,6.1,0.0
Jared Dudley  ,    LAL  ,35,    6-6  ,237,    Boston College  ,    USA  ,2007,1,22,2,0,0,0,-13.3,0,0,0,0,0,0.0
Jarrell Brantley  ,    UTA  ,25,    6-5  ,250,    College of Charleston  ,    USA  ,2019,2,50,2,0.5,0.5,0,-44.6,0,20,33.3,26.6,0,0.0
Jay Scrubb  ,    LAC  ,20,    6-5  ,220,    John A. Logan  ,    USA  ,2020,2,55,6,0,0.2,0,-45.2,0,12.5,0,0,0,0.0
Jeff Teague  ,    MIL  ,33,    6-3  ,195,    Wake Forest  ,    USA  ,2009,1,19,16,2,0.5,0.8,-14.7,1.6,5.4,15.3,44.6,14.4,0.0
Josh Richardson  ,    DAL  ,27,    6-5  ,200,    Tennessee  ,    USA  ,2015,2,40,7,4.9,1.6,0.7,-30,2.8,9,18.6,53.2,10,0.0
Justin Jackson  ,    MIL  ,26,    6-8  ,220,    North Carolina  ,    USA  ,2017,1,15,5,1.2,0.4,0.2,-22.4,6.7,5.9,15,60,20,0.0
Justise Winslow  ,    MEM  ,25,    6-6  ,222,    Duke  ,    USA  ,2015,1,10,1,0,1,1,66.7,0,25,0,0,50,0.0
KZ Okpala  ,    MIA  ,22,    6-8  ,215,    Stanford  ,    USA  ,2019,2,32,2,0,0,0,0,0,0,8.3,0,0,0.0
Keljin Blevins  ,    POR  ,25,    6-4  ,200,    Montana State  ,    USA  ,2019,0,      ,2,1,0,0,-22.2,0,0,18.2,50,0,0.0
Kemba Walker  ,    OKC  ,31,    6-0  ,184,    Connecticut  ,    USA  ,2011,1,9,3,12.7,4,4,-28.9,0,15,24.5,41.9,20.3,0.0
Kendrick Nunn  ,    MIA  ,25,    6-2  ,190,    Oakland  ,    USA  ,      ,0,      ,4,10.3,1.5,1.5,-21.3,0,5.7,21.7,46.7,10.9,0.0
Kris Dunn  ,    ATL  ,27,    6-3  ,205,    Providence  ,    USA  ,2016,1,5,5,1.2,1,1,7.3,0,11.4,13.4,44.4,20.8,0.0
Kyle Kuzma  ,    LAL  ,25,    6-10  ,221,    Utah  ,    USA  ,2017,1,27,6,6.3,3.8,1.2,-5.2,2.7,15,18.8,36.6,8.5,0.0
Langston Galloway  ,    PHX  ,29,    6-1  ,200,    St. Joseph's (PA)  ,    USA  ,      ,0,      ,2,1,1,0.5,-15.2,0,11.1,18.4,13.4,9.1,0.0
Lou Williams  ,    ATL  ,34,    6-1  ,175,    None  ,    USA  ,2005,2,45,18,7.7,1.4,2.2,-3.5,0.7,8,22.8,57,23.9,0.0
Marc Gasol  ,    LAL  ,36,    6-11  ,255,    None  ,    Spain  ,2007,2,48,5,5.2,3.8,3,-19.1,4.2,20.5,9.6,88.1,31.9,0.0
Markus Howard  ,    DEN  ,22,    5-10  ,175,    Marquette  ,    USA  ,      ,0,      ,9,4.7,0.8,0.4,0.5,0.9,5.3,14.8,55.4,4.9,0.0
Matt Thomas  ,    UTA  ,26,    6-4  ,190,    Iowa State  ,    USA  ,      ,0,      ,3,0,0.3,0,-50,0,14.3,13.3,0,0,0.0
Mike James  ,    BKN  ,30,    6-1  ,175,    Lamar  ,    USA  ,      ,0,      ,9,3.7,1.8,1.3,8.9,1.7,12.3,19.6,38.4,16.9,0.0
Mike Scott  ,    PHI  ,32,    6-7  ,237,    Virginia  ,    USA  ,2012,2,43,5,1.2,0.6,0.6,16.4,2.6,4.8,11,33.3,12.5,0.0
Miye Oni  ,    UTA  ,23,    6-5  ,206,    Yale  ,    USA  ,2019,2,58,8,0,0.4,0,-12.4,6.5,0,5,0,0,0.0
Nerlens Noel  ,    NYK  ,27,    6-11  ,220,    Kentucky  ,    USA  ,2013,1,6,5,4.6,4,0.2,-17.9,9.7,11.2,9.3,67.5,1.8,0.0
Nicolo Melli  ,    DAL  ,30,    6-9  ,236,    None  ,    Italy  ,      ,0,      ,3,0,2,0,-53.8,8.3,30.8,8.3,0,0,0.0
Rajon Rondo  ,    LAC  ,35,    6-1  ,180,    Kentucky  ,    USA  ,2006,1,21,13,4.2,2.6,3.8,-6.4,1.9,14.2,15,47.2,33.6,0.0
Reggie Perry  ,    BKN  ,21,    6-8  ,250,    Mississippi State  ,    USA  ,2020,2,57,5,3.2,1.2,0.2,16,13.8,8.7,25,61.5,7.1,0.0
Romeo Langford  ,    BOS  ,21,    6-4  ,216,    Indiana  ,    USA  ,2019,1,14,4,9,2.5,1.3,0.2,4.2,4.8,13.4,53.3,6.7,0.0
Rondae Hollis-Jefferson  ,    POR  ,26,    6-6  ,217,    Arizona  ,    USA  ,2015,1,23,5,2,1.6,0,-21.7,8.1,14.3,7.9,79.1,0,0.0
Semi Ojeleye  ,    BOS  ,26,    6-6  ,240,    Southern Methodist  ,    USA  ,2017,2,37,2,0.5,0,0,-19.2,0,0,17.9,10.2,0,0.0
Solomon Hill  ,    ATL  ,30,    6-6  ,226,    Arizona  ,    USA  ,2013,1,23,14,1.2,1.4,0.2,-17.5,1.8,10.4,7.7,33,3.1,0.0
T.J. Leaf  ,    POR  ,24,    6-10  ,222,    UCLA  ,    USA  ,2017,1,18,3,2,1,0,0,20,12.5,19,75,0,0.0
Tacko Fall  ,    BOS  ,25,    7-5  ,311,    UCF  ,    Senegal  ,      ,0,      ,1,0,1,0,50,0,50,0,0,0,0.0
Taj Gibson  ,    NYK  ,36,    6-9  ,232,    Southern California  ,    USA  ,2009,1,26,5,5,7,0.8,-3.3,9.9,13.5,7,61.2,4.3,0.0
Talen Horton-Tucker  ,    LAL  ,20,    6-4  ,234,    Iowa State  ,    USA  ,2019,2,46,4,6.5,3.5,0.5,-14.4,3.6,24,26.4,49.6,10.5,0.0
Tony Snell  ,    ATL  ,29,    6-6  ,213,    New Mexico  ,    USA  ,2013,1,20,9,0.6,0.6,0.2,-25.2,0,7.6,13.3,15.6,4.9,0.0
Tremont Waters  ,    BOS  ,23,    5-10  ,175,    Louisiana State  ,    USA  ,2019,2,51,3,1.3,0,0.7,11.3,0,0,46.7,37.6,66.7,0.0
Trent Forrest  ,    UTA  ,23,    6-4  ,210,    Florida State  ,    USA  ,      ,0,      ,4,1,0,0,-68.7,0,0,16,50,0,0.0
Trevor Ariza  ,    MIA  ,36,    6-8  ,215,    UCLA  ,    USA  ,2004,2,43,4,4.8,5.8,0.5,-22.3,1.7,19.6,11.6,41.3,3.6,0.0
Ty-Shon Alexander  ,    PHX  ,22,    6-3  ,195,    Creighton  ,    USA  ,      ,0,      ,1,2,0,0,-8.3,0,0,33.3,100,0,0.0
Tyler Johnson  ,    BKN  ,29,    6-3  ,186,    Fresno State  ,    USA  ,      ,0,      ,8,2.1,0.8,0.6,-0.7,2.7,5.6,10.8,47.5,9.6,0.0
Udoka Azubuike  ,    UTA  ,21,    6-10  ,280,    Kansas  ,    Nigeria  ,2020,1,27,1,0,1,0,33.3,0,100,0,0,0,0.0
Willie Cauley-Stein  ,    DAL  ,27,    7-0  ,240,    Kentucky  ,    USA  ,2015,1,6,6,2.5,2.7,0.5,-18,4.3,22,9.1,72.7,7.7,0.0
Yogi Ferrell  ,    LAC  ,28,    6-0  ,178,    Indiana  ,    USA  ,      ,0,      ,9,0.4,0.3,0.3,-3.8,0,27.3,15.6,40,42.9,0.0
Andre Roberson  ,    OKC  ,28,    6-7  ,210,    Colorado  ,    USA  ,2013,1,26,1,0,0,0,-116.7,0,0,12.5,0,0,0.0
